Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Multiplier,Runtime,Active_States,Worst_CVaR
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,0.5,0.22247982025146484,4,2.476683659659482
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,0.5,0.3397350311279297,5,1.9838162605874925
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,0.5,0.07302308082580566,2,4.251524423788294
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,0.5,0.14777088165283203,3,3.6376063626873707
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,0.5,0.13944411277770996,3,3.5414803681905678
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,0.5,0.4590020179748535,6,3.3729514062196477
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,0.5,0.4365410804748535,6,3.0333565013568484
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,0.5,0.43837690353393555,6,2.8773515187095637
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,0.5,0.34391117095947266,4,2.492418553548529
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,0.5,0.13252806663513184,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,0.5,0.1411128044128418,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,0.5,0.13487577438354492,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,0.5,0.07608199119567871,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,0.5,0.08643794059753418,2,4.7155
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,0.5,0.21425104141235352,4,3.18590360478802
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,0.5,0.21896910667419434,4,3.1896066892312875
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,0.5,0.07878303527832031,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,0.5,0.07488703727722168,2,8.686230181792089
