Window,GridDim,Dense_Obj,Adaptive_Obj,Weights_L1_Diff,Dense_Time,Adaptive_Time,Dense_Vars,Dense_Constrs,Adaptive_Master_Blocks
1,11,0.024555990722451265,0.024555990722451265,5.204170427930421e-16,4.773923625,0.31901225,152612,152583,4
1,21,0.02455599072245127,0.024555990722451265,4.579669976578771e-16,40.5302105,1.42523925,556132,556103,4
1,31,0.024555990722451265,0.02455599072245127,4.0245584642661925e-16,162.200246042,6.009585709,1211852,1211823,4
421,11,0.01993267989332904,0.01993268069456972,8.007046627817038e-8,6.087093,0.153628125,152612,152583,3
421,21,0.01993268046625347,0.019932680000476065,1.5674828047346212e-7,34.809649916,0.211057917,556132,556103,3
421,31,0.019932680466253468,0.019932679942453634,1.591443658868763e-7,159.327262917,0.669324,1211852,1211823,3
841,11,0.043477387618296524,0.043477387618296524,0.0,6.580651959,0.076522333,152612,152583,2
841,21,0.043477387618296524,0.043477387618296524,0.0,34.491867417,0.138632666,556132,556103,2
841,31,0.043477387618296524,0.043477387618296524,0.0,148.648233292,0.464295417,1211852,1211823,2
946,11,0.046153163334776946,0.04615316333477695,2.42861286636753e-17,9.753298,0.130797209,152612,152583,3
946,21,0.046153163334776946,0.04615316333477695,5.585809592645319e-16,29.351438083,0.41596425,556132,556103,3
946,31,0.046153163334776946,0.04615316333477695,5.585809592645319e-16,119.643348167,1.46255675,1211852,1211823,3
1261,11,0.04678486148658347,0.04678486148658347,0.0,12.326934083,0.7352795,152612,152583,3
1261,21,0.04678486148658347,0.04678486148658347,0.0,36.06813675,0.292487209,556132,556103,3
1261,31,0.04678486148658347,0.04678486148658347,0.0,135.010903208,0.95743825,1211852,1211823,3
1660,11,0.04210452550331492,0.04210452550331491,2.914335439641036e-16,6.631611083,0.385556833,152612,152583,3
1660,21,0.04420418657565414,0.04420418657565415,1.9949319973733282e-17,35.894588875,0.266435708,556132,556103,3
1660,31,0.04420418657565415,0.04420418657565415,0.0,152.914331333,1.039549125,1211852,1211823,3
1702,11,0.04179930796621491,0.04179930796621491,4.163336342344337e-17,6.876609875,0.254122958,152612,152583,4
1702,21,0.04388535810793284,0.04388535810793284,1.734723475976807e-16,28.022638709,0.227855666,556132,556103,3
1702,31,0.043823709924572934,0.04382370992457293,1.214306433183765e-17,122.129156417,0.293876667,1211852,1211823,3
1912,11,0.03583816154642715,0.035838161546427154,6.418476861114186e-17,6.447938459,0.251929375,152612,152583,4
1912,21,0.040263034428056045,0.04026303442805604,3.9596079778707327e-16,36.656064084,0.42297175,556132,556103,5
1912,31,0.04093586900339099,0.04093586900339099,1.2620113287731272e-16,125.938953167,0.560942167,1211852,1211823,5
1954,11,0.035336243132845536,0.035336243132845536,4.163336342344337e-17,6.772962625,0.49347,152612,152583,6
1954,21,0.03957410312316377,0.039573697520515705,0.0010770831620299662,41.794945792,0.568255917,556132,556103,5
1954,31,0.04022143884995552,0.04022143884995552,2.38524477946811e-16,171.557820958,0.707968875,1211852,1211823,6
2080,11,0.033560669035487115,0.03355992126514355,0.0005052447643638693,9.980403042,0.402421584,152612,152583,5
