Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Grid_Size,Runtime,Active_States,Worst_CVaR
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,81,1.7030160427093506,4,2.4766836596594826
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,41,2.332097053527832,4,2.4766836596594826
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,21,1.0176591873168945,4,2.4766836596594826
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,11,0.27379512786865234,4,2.4766836596594826
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,81,1.1562669277191162,5,1.6096913749664223
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,41,0.4743349552154541,5,1.609839923995978
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,21,0.39983391761779785,5,1.6092780750986209
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,11,0.3361029624938965,5,1.6064358264225758
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,81,0.4291670322418213,2,4.061938147356518
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,41,0.12229084968566895,2,4.061938147356518
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,21,0.08275485038757324,2,3.9452691738725676
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,11,0.06662106513977051,2,3.8879323892112545
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,81,0.3103311061859131,2,3.4971693339344063
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,41,0.2865471839904785,2,3.4971693339344063
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,21,0.0970160961151123,2,3.4971693339344063
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,11,0.08712100982666016,2,3.4971693339344063
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,81,0.3995339870452881,3,3.2720064356085823
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,41,0.3240039348602295,3,3.2716759519836693
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,21,0.07399106025695801,2,3.271286384976526
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,11,0.06410002708435059,2,3.271286384976526
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,81,1.2537429332733154,6,3.3659714674166055
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,41,0.9681460857391357,7,3.362902885116361
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,21,0.5959908962249756,6,3.3475095749725554
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,11,0.2796471118927002,4,3.2893708542600346
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,81,2.4744980335235596,9,2.9599459720781076
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,41,1.481259822845459,9,2.9560708729219907
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,21,0.5218071937561035,6,2.945555039769371
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,11,0.6965339183807373,7,2.8557485246726073
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,81,1.933568000793457,8,2.7933671482877283
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,41,1.1997511386871338,8,2.78885138456796
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,21,0.5156650543212891,6,2.7772943602226414
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,11,0.342926025390625,5,2.74294782341684
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,81,0.7320530414581299,4,2.491304150772894
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,41,0.30716919898986816,4,2.49062908188702
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,21,0.14331507682800293,3,2.486876889206501
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,11,0.12974309921264648,3,2.4827671777980562
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,81,0.5848259925842285,3,6.2657828873496175
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,41,0.2431480884552002,3,6.2657828873496175
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,21,0.15152812004089355,3,6.2657828873496175
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,11,0.14143109321594238,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,81,0.5764200687408447,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,41,0.21035099029541016,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,21,0.16147208213806152,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,11,0.145521879196167,3,6.265782887349617
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,81,0.5773961544036865,3,6.265782887349619
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,41,0.19927692413330078,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,21,0.14659905433654785,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,11,0.13761496543884277,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,81,0.39801716804504395,2,4.7155
