Window,Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1,1994-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.053745098076389906,0.0,0.0,0.15,0.0,0.12199642327358233,0.15,0.0,0.08917096146096523,0.15,0.0,0.0,0.0,0.0,0.0,0.13508751718906256,0.0
2,1995-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.007709569629930104,0.0,0.14277642087993322,0.0,0.1173628292822342,0.1321511802079025,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
3,1995-02-24,0.0,0.056805747671405005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.10330183363823957,0.0,0.0,0.09335087918752588,0.0,0.14654153950282955,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
4,1995-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14821065371383768,0.0,0.02522599113898905,0.0,0.0,0.15,0.0,0.11386767349615479,0.15,0.0,0.11269568165101854,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
5,1995-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.1295577069799626,0.0,0.0,0.15,0.0,0.1331154407320789,0.15,0.0,0.006328392906836289,0.1309984593811222,0.0,0.0,0.0,0.0,0.0,0.15,0.0
6,1995-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.09774399842581738,0.0,0.0,0.15,0.018174439197166523,0.11618014561196403,0.15,0.0,0.0,0.15,0.0,0.0,0.01790141676505207,0.0,0.0,0.15,0.0
7,1995-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.01643870548481607,0.08888885424141217,0.15,0.0,0.0,0.15,0.0499526948468488,0.0,0.09471974542692294,0.0,0.0,0.15,0.0
8,1995-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0035084482311300786,0.08551473282244962,0.15,0.0,0.0,0.15,0.012835109324000504,0.0,0.1481417096224198,0.0,0.0,0.15,0.0
9,1995-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04143628433707608,0.0,0.0,0.14737995603556034,0.054546293696644745,0.006637465930718829,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
10,1995-09-25,0.023636470388229008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06162240934019577,0.0,0.15,0.0,0.036388146335924326,0.15,0.15,0.15,0.06257710645757435,0.0,0.012586450004229956,0.12343908582204186,0.0,0.0,0.0,0.07975033165180477,0.0
11,1995-10-24,0.13832565251364515,0.13588859088322963,0.0,0.0,0.1441691956987767,0.0,0.0,0.0,0.0,0.03919507790943056,0.0,0.0,0.0,0.0,0.0,0.1389627365629222,0.01378015709363545,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08967858933836027,0.0
12,1995-11-22,0.12034412683054346,0.15,0.0,0.0,0.15,0.013656778574448135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004867822205194326,0.15,0.009237641058414695,0.009275468505029656,0.15,0.15,0.0,0.0,0.0,0.0,0.026267892403058418,0.03378490372298737,0.0,0.0,0.032565366700323915,0.0
13,1995-12-22,0.15,0.14450884704627606,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03361810620109256,0.15,0.02416334160275927,0.012393080107234333,0.15,0.15,0.0,0.0,0.0,0.0,0.035316625042637786,0.0,0.0,0.0,0.0,0.0
14,1996-01-24,0.1480117160551811,0.15,0.0,0.0,0.08153904271854605,0.003720355792187581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06053248781039787,0.15,0.06173060007594264,0.04446579754774494,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1996-02-23,0.15,0.10238783264231921,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616168107147392,0.15,0.04509203999748937,0.03321153154556533,0.15,0.15,0.0,0.0,0.0,0.0,0.007691785099886854,0.0,0.0,0.0,0.0,0.0
16,1996-03-25,0.07373436127930981,0.009503252025738781,0.0,0.0,0.15,0.14377643379101923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03352502725751953,0.02121419836583406,0.14225970202886995,0.15,0.0,0.0,0.0,0.0,0.0,0.12598702525170846,0.0,0.0,0.0,0.0
