Window,Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1,1994-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.15,0.010512534270208545,0.09274670903841742,0.15,0.0,0.07283540726464739,0.15,0.0,0.0,0.0,0.0,0.0,0.07390534942672665,0.0
2,1995-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.00188938347214073,0.003620367636066262,0.0,0.14389021484454076,0.0,0.10060003404725226,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
3,1995-02-24,0.0,0.05680574862753976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.10330183204103416,0.0,0.0,0.09335087931146233,0.0,0.1465415400199638,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
4,1995-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14821065371383765,0.0,0.02522599113898904,0.0,0.0,0.15,0.0,0.11386767349615483,0.15,0.0,0.11269568165101852,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
5,1995-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.129557706979963,0.0,0.0,0.15,0.0,0.13311544073207898,0.15,0.0,0.006328392906835916,0.13099845938112215,0.0,0.0,0.0,0.0,0.0,0.15,0.0
6,1995-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.09774399842581744,0.0,0.0,0.15,0.01817443919716653,0.11618014561196405,0.15,0.0,0.0,0.15,0.0,0.0,0.01790141676505198,0.0,0.0,0.15,0.0
7,1995-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.016438705484816043,0.08888885424141224,0.15,0.0,0.0,0.15,0.04995269484684899,0.0,0.09471974542692299,0.0,0.0,0.15,0.0
8,1995-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0035084482311300708,0.08551473282244963,0.15,0.0,0.0,0.15,0.012835109324000499,0.0,0.1481417096224198,0.0,0.0,0.15,0.0
9,1995-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041436284337076114,0.0,0.0,0.14737995603556026,0.05454629369664472,0.0066374659307189025,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
10,1995-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158785578578493,0.012928116434651244,0.0,0.15,0.0,0.09067709486523445,0.0,0.15,0.15,0.15,0.0,0.0,0.15,0.030516230842265017,0.0,0.0,0.0,0.0
11,1995-10-24,0.13789752608660694,0.08178219257225892,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.02515175937454961,0.12172886752418743,0.0,0.033439654442397125,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1995-11-22,0.01168295213474304,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.14821935253606833,0.07305700294756323,0.0,0.0,0.0,0.0,0.0004032277796382141,0.15,0.0,0.008038939574190338,0.10058030373338826,0.15,0.0007959576173164686,0.0,0.0,0.057222263677092274,0.0,0.0,0.0,0.0,0.0,0.0
13,1995-12-22,0.013252213359168317,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.14535199341987368,0.07632819842063929,0.0,0.0,0.0,0.0,0.0009346298438297721,0.15,0.0,0.00726747192744925,0.1010118894697461,0.15,0.0011730981063752684,0.0,0.0,0.05468050545291824,0.0,0.0,0.0,0.0,0.0,0.0
14,1996-01-24,0.04182623753486138,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.06059530195038619,0.0,0.0,0.0,0.0,0.024364392365524384,0.15,0.0,0.0,0.057814324836693694,0.15,0.0,0.0,0.0,0.0653997433125344,0.0,0.0,0.0,0.0,0.0,0.0
15,1996-02-23,0.0405510292103125,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.062083267801865,0.0,0.0,0.0,0.0,0.02350499391961106,0.15,0.0,0.0,0.05820353816932684,0.15,0.0,0.0,0.0,0.06565717089888459,0.0,0.0,0.0,0.0,0.0,0.0
16,1996-03-25,0.032303377611864935,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.07181730263306343,0.0,0.0,0.0,0.0,0.017800432008235126,0.15,0.0,0.0,0.06077206191884071,0.15,0.0,0.0,0.0,0.06730682582799587,0.0,0.0,0.0,0.0,0.0,0.0
17,1996-04-24,0.02916311063166689,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.07462507780155084,0.0,0.0,0.0,0.0,0.025989799702434944,0.13296225393342878,0.0,0.0,0.06060646196287872,0.15,0.0,0.0,0.0,0.07665329596803984,0.0,0.0,0.0,0.0,0.0,0.0
18,1996-05-23,0.038457583774538937,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.01675400330627341,0.0,0.0,0.0,0.0,0.04282416213055167,0.10148531561194067,0.0,0.003793013855657311,0.10955232902936521,0.15,0.0,0.0,0.0,0.0871335922916728,0.0,0.0,0.0,0.0,0.0,0.0
19,1996-06-24,0.05546047367147339,0.15,0.0,0.0,0.0,0.15,0.0002972934278119004,0.0,0.15,0.0664295749435366,0.0,0.0,0.0,0.0,0.03046393796706405,0.12618289170370087,0.0,0.011908207723443429,0.05338375459157028,0.15,0.0,0.0,0.0,0.05587386597139944,0.0,0.0,0.0,0.0,0.0,0.0
20,1996-07-24,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.059096794561078095,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.006448904024174207,0.0,0.0,0.03445430141474767,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
21,1996-08-22,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.06212243678834586,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0007980562701633013,0.0,0.03707950694149081,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
22,1996-09-23,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.06214704129585198,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.00022767905070333075,0.0,0.03762527965344466,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
23,1996-10-22,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0621429991393228,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0003213835884252794,0.0,0.037535617272251895,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
24,1996-11-20,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0617438035968752,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.009575462072437856,0.0,0.02868073433068693,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
25,1996-12-20,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.005488257138218778,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.04378269344859778,0.04226438960254198,0.008464659810641435,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
26,1997-01-22,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.012644339730175024,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.044466973789388534,0.042888686480436415,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
27,1997-02-21,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.012642233867017537,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.044469738739488444,0.04288802739349399,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
28,1997-03-24,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.012641521428440931,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.04447067415502414,0.04288780441653489,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0
29,1997-04-23,0.09319774838702817,0.0,0.09895282598151484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13206203259958513,0.15,0.069777737919966,0.06634000750201488,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08966964760989107,0.0
30,1997-05-22,0.0780855853108066,0.0,0.10925697880502433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.045048953693278965,0.05355762985550269,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1140508523353874,0.0
31,1997-06-23,0.09809833247901557,0.0,0.09123411091701629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.1494026082354026,0.15,0.009367908638918718,0.08262260654569396,0.03968014834362414,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07959428484032871,0.0
32,1997-07-23,0.09967559580161128,0.0,0.09157250402337552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.1460161353107381,0.15,0.0,0.08144620418365835,0.049211070275051276,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08207849040556539,0.0
33,1997-08-21,0.10812580146931122,0.0,0.09190633661206656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.0,0.0806560279174002,0.03848658612930454,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08082524787191751,0.0
34,1997-09-22,0.0839352512531222,0.0,0.09077164590345596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.028060244550692844,0.07543827348164045,0.026568427964706973,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09522615684638168,0.0
35,1997-10-21,0.1053461782914742,0.0,0.10377699252441126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.041604415308737014,0.041139989714248634,0.046951664701994016,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06118075945913492,0.0
36,1997-11-19,0.07272951328582146,0.15,0.018485346918943855,0.0,0.014264325604340718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021087666087811,0.04241204758211289,0.0,0.0,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1997-12-19,0.15,0.15,0.011871121664373343,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06691655107224005,0.0046430877588974715,0.0,0.0,0.15,0.14406973644990975,0.15,0.022499503054579376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1998-01-22,0.15,0.1469738559119208,0.05188284080189654,0.0,0.0,0.08820963860331234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007029452007344399,0.11122393285045193,0.0,0.0,0.14468027982507412,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1998-02-23,0.15,0.15,0.015356489253654983,0.0,0.0,0.09580914139736313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03595139231337219,0.13400272196442783,0.0,0.0,0.11888025507118184,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1998-03-24,0.15,0.15,0.02482980139703002,0.0,0.0,0.09542641341189358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007470794582746479,0.14158082925882637,0.0,0.0,0.1306921613495036,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1998-04-23,0.15,0.15,0.035766766372770806,0.0,0.0,0.12170673077819232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056927843184199356,0.03559865966483751,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1998-05-22,0.15,0.1455850202600046,0.053197658658445265,0.0,0.004340640452422566,0.07090981640326673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12723718645295748,0.0,0.0,0.15,0.0,0.15,0.14872967777290338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1998-06-23,0.15,0.11381983758735681,0.05227910986214961,0.0,0.052397216085230805,0.06857876699244399,0.0,0.0,0.0,0.0012463591556188375,0.0,0.0,0.0,0.0,0.11167871031719999,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1998-07-23,0.15,0.13167679400343027,0.0417316210684243,0.0,0.0,0.08803848969612746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08967288901671283,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04888020621530517
45,1998-08-21,0.15,0.054590745797037814,0.06491674469459703,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010876716295140273,0.0,0.0,0.08085761975999123,0.09225145699393236,0.15,0.09650671645930133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
46,1998-09-22,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.11011813045711312,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1398818695428869
47,1998-10-21,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.09256941100946875,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.007430588990531228,0.0,0.0,0.0,0.0,0.15
48,1998-11-19,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.07590009000900047,0.0,0.0,0.0,0.024099909990999507,0.15
49,1998-12-21,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.05515039447731792,0.0,0.0,0.0,0.04484960552268206,0.15
50,1999-01-22,0.15,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06899623648230217,0.031003763517697805
51,1999-02-23,0.15,0.0,0.15,0.0,0.11738420427553381,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326157957244662,0.0
52,1999-03-24,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.10390076148366491,0.0,0.0,0.0,0.1460992385163351,0.0
53,1999-04-23,0.15,0.0,0.15,0.0,0.03289106991397034,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06710893008602964,0.0
54,1999-05-24,0.15,0.0,0.15,0.0,0.010844712607177969,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08915528739282201
55,1999-06-23,0.15,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.07941937869822505,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020580621301774932
56,1999-07-23,0.15,0.0,0.15,0.0,0.14102536923185613,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.10897463076814387,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1999-08-23,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.14225991308026606,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.10774008691973394,0.0,0.0,0.0,0.0,0.0
