Window,Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1,1994-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.053745098076389906,0.0,0.0,0.15,0.0,0.12199642327358233,0.15,0.0,0.08917096146096523,0.15,0.0,0.0,0.0,0.0,0.0,0.13508751718906256,0.0
2,1995-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0077095696299301015,0.0,0.14277642087993322,0.0,0.11736282928223421,0.13215118020790248,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
3,1995-02-24,0.0,0.05680574767140488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.10330183363823978,0.0,0.0,0.09335087918752584,0.0,0.14654153950282953,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
4,1995-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14821065371383774,0.0,0.025225991138988855,0.0,0.0,0.15,0.0,0.11386767349615476,0.15,0.0,0.11269568165101865,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
5,1995-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.12955770697996255,0.0,0.0,0.15,0.0,0.1331154407320789,0.15,0.0,0.006328392906836114,0.13099845938112245,0.0,0.0,0.0,0.0,0.0,0.15,0.0
6,1995-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.09774399842581713,0.0,0.0,0.15,0.018174439197166506,0.11618014561196396,0.15,0.0,0.0,0.15,0.0,0.0,0.017901416765052386,0.0,0.0,0.15,0.0
7,1995-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.016438705484816074,0.08888885424141217,0.15,0.0,0.0,0.15,0.049952694846848625,0.0,0.09471974542692312,0.0,0.0,0.15,0.0
8,1995-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.003508448231130082,0.08551473282244962,0.15,0.0,0.0,0.15,0.012835109324000346,0.0,0.14814170962241996,0.0,0.0,0.15,0.0
9,1995-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041436284337076114,0.0,0.0,0.14737995603556026,0.05454629369664472,0.0066374659307189025,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
10,1995-09-25,0.017247651254659435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023540992930786913,0.05003946051923151,0.0,0.15,0.0,0.03361226306309346,0.15,0.15,0.15,0.10464426038148571,0.0,0.0,0.15,0.0,0.0,0.0,0.02091537185074298,0.0
