Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Multiplier,Runtime,Active_States,Worst_CVaR
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,0.5,0.25540804862976074,4,2.476683659659482
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,0.5,0.3875131607055664,5,1.9838162605874925
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,0.5,0.0821540355682373,2,4.251524423788294
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,0.5,0.15989208221435547,3,3.6376063626873707
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,0.5,0.14816498756408691,3,3.5414803681905678
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,0.5,0.497668981552124,6,3.3729514062196477
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,0.5,0.4669959545135498,6,3.0333565013568484
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,0.5,0.4704291820526123,6,2.8773515187095637
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,0.5,0.22071409225463867,4,2.492418553548529
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,0.5,0.14241409301757812,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,0.5,0.1492908000946045,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,0.5,0.14217901229858398,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,0.5,0.0798349380493164,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,0.5,0.08853292465209961,2,4.7155
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,0.5,0.22926688194274902,4,3.18590360478802
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,0.5,0.2343919277191162,4,3.1896066892312875
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,0.5,0.0804600715637207,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,0.5,0.2258150577545166,2,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,0.5,0.16849589347839355,3,8.623408236018806
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,0.5,0.5223348140716553,6,3.7720220054724174
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,0.75,0.29475998878479004,4,2.4766836596594826
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,0.75,0.19002318382263184,3,1.731796523162155
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,0.75,0.08159685134887695,2,4.251524423788294
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,0.75,0.09380102157592773,2,3.4971693339344063
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,0.75,0.15652704238891602,3,3.3783746427965866
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,0.75,0.3832850456237793,5,3.365207866806904
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,0.75,0.38378190994262695,5,3.011886790017352
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,0.75,0.6707539558410645,7,2.845151533745242
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,0.75,0.23893499374389648,4,2.4923220147138077
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,0.75,0.15317702293395996,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,0.75,0.17104482650756836,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,0.75,0.1574258804321289,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,0.75,0.09489798545837402,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,0.75,0.09647512435913086,2,4.7155
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,0.75,0.14721989631652832,3,3.0585395451515347
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,0.75,0.25308990478515625,4,3.064286574514288
