Strategy,Period,Return,MaxDD
1/N,DotCom,-0.04753518266254331,-0.24409193175539434
MinVar,DotCom,0.013584938492298138,-0.20659858199960746
NominalCVaR,DotCom,0.058574756359377256,-0.20656119995193756
FiniteRegime,DotCom,0.17261151933226038,-0.2032816859025729
RobustSIP,DotCom,0.0427981020817052,-0.2494912349357481
1/N,GFC,-0.5355710754804861,-0.5578686953310256
MinVar,GFC,-0.3467422141782156,-0.4018425491501987
NominalCVaR,GFC,-0.31132351709364103,-0.35763295365527936
FiniteRegime,GFC,-0.30906080841855454,-0.36763795320788917
RobustSIP,GFC,-0.3651037767894433,-0.41704313815040017
1/N,COVID,-0.20176605831580985,-0.20640841176356162
MinVar,COVID,-0.12251270561969319,-0.15294673560689254
NominalCVaR,COVID,-0.12046942355943091,-0.1542306474050319
FiniteRegime,COVID,-0.11669228866248005,-0.15147316572575154
RobustSIP,COVID,-0.17441262226772591,-0.1899286192080999
1/N,Inflation,-0.0604807840509326,-0.17243151996732753
MinVar,Inflation,-0.06471531198167524,-0.18116095760902173
NominalCVaR,Inflation,-0.04829855216417278,-0.1792182068203747
FiniteRegime,Inflation,-0.0766113690464787,-0.18882463345780276
RobustSIP,Inflation,-0.08585079423474318,-0.19859891334527635
