Strategy,TC_bps,Sharpe,Final_Wealth
1/N,0.0,0.7209556001290727,29.430693458448086
MinVar,0.0,0.8762928042917323,22.813358063888845
NominalCVaR,0.0,0.8880529804388613,23.631779273283442
FiniteRegime,0.0,0.9089912193543529,26.532671168606814
RobustSIP,0.0,0.8167509092006011,25.941539686565527
1/N,5.0,0.7203628397698413,29.338078224725617
MinVar,5.0,0.8730914116788673,22.530623215938544
NominalCVaR,5.0,0.8840598500873503,23.271429689021
FiniteRegime,5.0,0.9048165472218214,26.101657594235004
RobustSIP,5.0,0.8127454245457781,25.48703169059383
1/N,10.0,0.7197700726257203,29.245753534261166
MinVar,10.0,0.8698887735118491,22.251374464533754
NominalCVaR,10.0,0.8800654428674634,22.916549917985733
FiniteRegime,10.0,0.9006398195020047,25.677610107207613
RobustSIP,10.0,0.8087369855962281,25.040424791504154
1/N,20.0,0.7185845180189758,29.06197215145378
MinVar,20.0,0.8634797917616567,21.7031647176904
NominalCVaR,20.0,0.8720728452134296,22.22287045914615
FiniteRegime,20.0,0.8922802660380208,24.8499671287541
RobustSIP,20.0,0.8007113730689467,24.170371482247486
1/N,50.0,0.7150276923018241,28.51750712594066
MinVar,50.0,0.8442237679649829,20.137860282544313
NominalCVaR,50.0,0.8480656422046506,20.26476347169777
FiniteRegime,50.0,0.867154065051547,22.522936835832773
RobustSIP,50.0,0.7765669828209001,21.736135039599546
