Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Multiplier,Runtime,Active_States,Worst_CVaR
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,0.5,0.28528904914855957,4,2.476683659659482
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,0.5,0.5242040157318115,5,1.9838162605874925
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,0.5,0.08550000190734863,2,4.251524423788294
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,0.5,0.19469308853149414,3,3.6376063626873707
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,0.5,0.2829718589782715,3,3.5414803681905678
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,0.5,0.5445141792297363,6,3.3729514062196477
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,0.5,0.5153069496154785,6,3.0333565013568484
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,0.5,0.5189790725708008,6,2.8773515187095637
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,0.5,0.4522080421447754,4,2.492418553548529
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,0.5,0.16753196716308594,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,0.5,0.1709609031677246,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,0.5,0.16651296615600586,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,0.5,0.0956888198852539,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,0.5,0.10287308692932129,2,4.7155
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,0.5,0.254472017288208,4,3.18590360478802
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,0.5,0.26047587394714355,4,3.1896066892312875
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,0.5,0.09453296661376953,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,0.5,0.0948021411895752,2,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,0.5,0.17754697799682617,3,8.623408236018806
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,0.5,0.5927169322967529,6,3.7720220054724174
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,0.75,0.3268899917602539,4,2.4766836596594826
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,0.75,0.1871800422668457,3,1.731796523162155
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,0.75,0.08648896217346191,2,4.251524423788294
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,0.75,0.10346794128417969,2,3.4971693339344063
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,0.75,0.16672611236572266,3,3.3783746427965866
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,0.75,0.4302089214324951,5,3.365207866806904
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,0.75,0.4316229820251465,5,3.011886790017352
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,0.75,0.9119319915771484,7,2.845151533745242
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,0.75,0.26197004318237305,4,2.4923220147138077
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,0.75,0.1776440143585205,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,0.75,0.18618011474609375,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,0.75,0.17485690116882324,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,0.75,0.10350894927978516,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,0.75,0.10435199737548828,2,4.7155
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,0.75,0.16750288009643555,3,3.0585395451515347
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,0.75,0.2836730480194092,4,3.064286574514288
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,0.75,0.10408401489257812,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,0.75,0.18012189865112305,3,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,0.75,0.11034512519836426,2,8.623408236018806
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,0.75,0.5003089904785156,5,3.7517868811749087
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,1.0,0.30916595458984375,4,2.4766836596594826
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,1.0,0.4855198860168457,5,1.6092780750986209
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,1.0,0.09161090850830078,2,3.9452691738725676
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,1.0,0.12744498252868652,2,3.4971693339344063
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,1.0,0.11951589584350586,2,3.271286384976526
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,1.0,0.7730062007904053,6,3.3475095749725554
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,1.0,0.7981829643249512,6,2.945555039769371
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,1.0,0.6431808471679688,6,2.7772943602226414
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,1.0,0.16556501388549805,3,2.486876889206501
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,1.0,0.1792459487915039,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,1.0,0.1940150260925293,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,1.0,0.178847074508667,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,1.0,0.11376094818115234,2,4.676982379686421
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,1.0,0.10931897163391113,2,4.7155
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,1.0,0.1733088493347168,3,3.058539832418354
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,1.0,0.17346906661987305,3,3.053613027357429
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,1.0,0.12192487716674805,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,1.0,0.2921440601348877,3,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,1.0,0.22153401374816895,3,8.623408236018806
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,1.0,0.3175029754638672,4,3.7493722809453804
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,1.5,0.3325498104095459,4,2.476683659659482
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,1.5,0.5813109874725342,5,1.5212201633364317
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,1.5,0.1027679443359375,2,3.065941074146162
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,1.5,0.12495994567871094,2,3.497169333969085
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,1.5,0.11653590202331543,2,3.2712863849960665
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,1.5,0.41805410385131836,4,3.250444754306101
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,1.5,2.040670871734619,9,2.8344949828879846
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,1.5,1.1686220169067383,7,2.717592999599976
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,1.5,0.30728816986083984,4,2.491888487646963
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,1.5,0.2140040397644043,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,1.5,0.22239089012145996,3,6.265782887349617
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,1.5,0.19645094871520996,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,1.5,0.16027092933654785,2,4.047942308526207
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,1.5,0.12284994125366211,2,4.225991214482147
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,1.5,0.17124700546264648,3,2.948287795052032
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,1.5,0.10675787925720215,2,2.9368950654111057
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,1.5,0.12008500099182129,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,1.5,0.125654935836792,2,8.686230181792087
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,1.5,0.22937989234924316,3,8.623408236018808
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,1.5,0.5367088317871094,5,3.554126466422374
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,2.0,0.3803269863128662,4,2.471072629911393
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,2.0,0.6534039974212646,4,1.4933841156375542
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,2.0,0.21035194396972656,2,2.622526435438555
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,2.0,0.17420196533203125,2,3.4971708753916837
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,2.0,0.12578201293945312,2,3.2712873218222165
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,2.0,0.45008301734924316,4,3.1439173753693392
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,2.0,2.115342855453491,7,2.7290864274184075
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,2.0,1.2124650478363037,6,2.7066737611870217
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,2.0,0.4868640899658203,4,2.4923813162756105
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,2.0,0.5145800113677979,4,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,2.0,0.3704261779785156,4,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,2.0,0.36898112297058105,4,6.265782887349619
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,2.0,0.13408994674682617,2,3.7632062925366783
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,2.0,0.25252604484558105,3,3.9121261477134626
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,2.0,0.096466064453125,2,2.924510693285547
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,2.0,0.11750602722167969,2,2.9188757765994535
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,2.0,0.1203920841217041,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,2.0,0.12768793106079102,2,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,2.0,0.14618802070617676,2,8.623408236018808
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,2.0,0.4775559902191162,4,3.256967528446099
