Window,Train_Start_Date,Train_End_Date,Hold_Start_Date,Hold_End_Date,T_train,T_hold
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,1260,21
2,1990-02-01,1995-01-26,1995-01-27,1995-02-27,1260,21
3,1990-03-05,1995-02-27,1995-02-28,1995-03-28,1260,21
4,1990-04-03,1995-03-28,1995-03-29,1995-04-27,1260,21
5,1990-05-03,1995-04-27,1995-04-28,1995-05-26,1260,21
6,1990-06-04,1995-05-26,1995-05-30,1995-06-27,1260,21
7,1990-07-03,1995-06-27,1995-06-28,1995-07-27,1260,21
8,1990-08-02,1995-07-27,1995-07-28,1995-08-25,1260,21
9,1990-08-31,1995-08-25,1995-08-28,1995-09-26,1260,21
10,1990-10-02,1995-09-26,1995-09-27,1995-10-25,1260,21
11,1990-10-31,1995-10-25,1995-10-26,1995-11-24,1260,21
12,1990-11-30,1995-11-24,1995-11-27,1995-12-26,1260,21
13,1991-01-02,1995-12-26,1995-12-27,1996-01-25,1260,21
14,1991-01-31,1996-01-25,1996-01-26,1996-02-26,1260,21
15,1991-03-05,1996-02-26,1996-02-27,1996-03-26,1260,21
16,1991-04-04,1996-03-26,1996-03-27,1996-04-25,1260,21
17,1991-05-03,1996-04-25,1996-04-26,1996-05-24,1260,21
18,1991-06-04,1996-05-24,1996-05-28,1996-06-25,1260,21
19,1991-07-03,1996-06-25,1996-06-26,1996-07-25,1260,21
20,1991-08-02,1996-07-25,1996-07-26,1996-08-23,1260,21
21,1991-09-03,1996-08-23,1996-08-26,1996-09-24,1260,21
22,1991-10-02,1996-09-24,1996-09-25,1996-10-23,1260,21
23,1991-10-31,1996-10-23,1996-10-24,1996-11-21,1260,21
24,1991-12-02,1996-11-21,1996-11-22,1996-12-23,1260,21
25,1992-01-02,1996-12-23,1996-12-24,1997-01-23,1260,21
26,1992-01-31,1997-01-23,1997-01-24,1997-02-25,1260,21
27,1992-03-03,1997-02-25,1997-02-26,1997-03-26,1260,21
28,1992-04-01,1997-03-26,1997-03-27,1997-04-25,1260,21
