Window,GridDim,Dense_Obj,Adaptive_Obj,Weights_L1_Diff,Dense_Time,Adaptive_Time,Dense_Vars,Dense_Constrs,Adaptive_Master_Blocks
1,11,0.024555990722451265,0.024555990722451265,5.204170427930421e-16,6.767385708,0.465187792,152612,152583,4
1,21,0.02455599072245127,0.024555990722451265,4.579669976578771e-16,42.286027125,1.608883292,556132,556103,4
1,31,0.024555990722451265,0.02455599072245127,4.0245584642661925e-16,187.774692958,6.201748708,1211852,1211823,4
421,11,0.01993267989332904,0.01993268069456972,8.007046627817038e-8,5.427932459,0.373579625,152612,152583,3
421,21,0.01993268046625347,0.019932680000476065,1.5674828047346212e-7,39.069157125,0.258594625,556132,556103,3
421,31,0.019932680466253468,0.019932679942453634,1.591443658868763e-7,176.24029275,0.410516167,1211852,1211823,3
841,11,0.043477387618296524,0.043477387618296524,0.0,6.978611208,0.095097625,152612,152583,2
841,21,0.043477387618296524,0.043477387618296524,0.0,38.125916209,0.185990833,556132,556103,2
841,31,0.043477387618296524,0.043477387618296524,0.0,152.570379042,0.201733666,1211852,1211823,2
946,11,0.046153163334776946,0.04615316333477695,2.42861286636753e-17,5.585176666,0.181693708,152612,152583,3
946,21,0.046153163334776946,0.04615316333477695,5.585809592645319e-16,26.871762667,0.17746975,556132,556103,3
946,31,0.046153163334776946,0.04615316333477695,5.585809592645319e-16,101.585111291,0.272295583,1211852,1211823,3
1261,11,0.04678486148658347,0.04678486148658347,0.0,6.384680792,0.174475208,152612,152583,3
1261,21,0.04678486148658347,0.04678486148658347,0.0,32.914161666,0.251809458,556132,556103,3
1261,31,0.04678486148658347,0.04678486148658347,0.0,135.3762265,1.417490916,1211852,1211823,3
1660,11,0.04210452550331492,0.04210452550331491,2.914335439641036e-16,6.317921,0.186694167,152612,152583,3
1660,21,0.04420418657565414,0.04420418657565415,1.9949319973733282e-17,35.544620125,0.273000417,556132,556103,3
1660,31,0.04420418657565415,0.04420418657565415,0.0,148.338987834,0.336395458,1211852,1211823,3
1702,11,0.04179930796621491,0.04179930796621491,4.163336342344337e-17,8.506173,0.257167,152612,152583,4
1702,21,0.04388535810793284,0.04388535810793284,1.734723475976807e-16,29.26185725,0.2678765,556132,556103,3
1702,31,0.043823709924572934,0.04382370992457293,1.214306433183765e-17,127.054592458,0.308734541,1211852,1211823,3
1912,11,0.03583816154642715,0.035838161546427154,6.418476861114186e-17,6.457633,0.224416458,152612,152583,4
1912,21,0.040263034428056045,0.04026303442805604,3.9596079778707327e-16,41.364316625,0.630653125,556132,556103,5
1912,31,0.04093586900339099,0.04093586900339099,1.2620113287731272e-16,144.392843541,0.591199584,1211852,1211823,5
1954,11,0.035336243132845536,0.035336243132845536,4.163336342344337e-17,8.100662167,0.557343333,152612,152583,6
1954,21,0.03957410312316377,0.039573697520515705,0.0010770831620299662,43.8667495,0.672643958,556132,556103,5
1954,31,0.04022143884995552,0.04022143884995552,2.38524477946811e-16,185.96771575,0.767282917,1211852,1211823,6
2080,11,0.033560669035487115,0.03355992126514355,0.0005052447643638693,10.383953625,0.414071541,152612,152583,5
2080,21,0.033680888586937116,0.03368073859748549,0.0002576514859903411,47.500404125,0.759298958,556132,556103,6
2080,31,0.03367192494207036,0.03367038790343751,0.00042090906395891685,207.955171875,0.780771416,1211852,1211823,6
2500,11,0.030352145575670866,0.03035214557567085,9.853229343548264e-16,10.383443541,0.596392167,152612,152583,6
2500,21,0.030356581229453256,0.030344770729374602,0.005953906889226007,51.412000916,0.656014542,556132,556103,6
2500,31,0.030355385873311696,0.030335084560272126,0.006041832544808362,221.175165792,0.773886375,1211852,1211823,6
2920,11,0.028542129424339816,0.028542129357309622,1.2544208775021326e-8,7.527593875,0.514170375,152612,152583,6
2920,21,0.028619011302468376,0.028618876211218457,8.317225497540826e-5,40.700141375,0.463603833,556132,556103,5
2920,31,0.028619543028831712,0.028618970926992483,0.00011472729454673272,173.129938375,0.527821958,1211852,1211823,5
3340,11,0.023175822414450906,0.023175822414450906,6.242836109171535e-16,9.550233,0.303828875,152612,152583,4
3340,21,0.02584533496104521,0.025845334961045217,0.0,45.527678375,0.144173792,556132,556103,2
3340,31,0.025861088994835853,0.025861088994835857,0.0,274.024763292,0.17463825,1211852,1211823,2
3487,11,0.061197966772787445,0.061197966772787445,1.734723475976807e-18,5.631222167,0.070279125,152612,152583,2
3487,21,0.061197966772787445,0.061197966772787445,1.734723475976807e-18,18.638856041,0.114651625,556132,556103,2
3487,31,0.061197966772787445,0.061197966772787445,1.734723475976807e-18,59.381105084,0.16760275,1211852,1211823,2
3508,11,0.06144166251958491,0.06144166251958491,4.163336342344337e-17,5.222262209,0.071664666,152612,152583,2
3508,21,0.06144166251958491,0.06144166251958491,9.020562075079397e-17,20.204828958,0.171104833,556132,556103,2
3508,31,0.06144166251958491,0.06144166251958492,2.2898349882893854e-16,65.12896425,1.518556667,1211852,1211823,3
3529,11,0.06265782887349616,0.06265782887349616,0.0,4.17318,0.149909125,152612,152583,3
3529,21,0.06265782887349616,0.06265782887349616,2.7755575615628914e-17,22.192253458,0.181322916,556132,556103,3
3529,31,0.06265782887349616,0.06265782887349618,2.7755575615628914e-17,85.357419375,0.709474875,1211852,1211823,4
3550,11,0.06265782887349618,0.06265782887349618,4.683753385137379e-17,5.164752958,0.162649959,152612,152583,3
3550,21,0.06265782887349616,0.06265782887349616,0.0,22.880519042,0.273014584,556132,556103,3
3550,31,0.06265782887349618,0.06265782887349618,5.672545766444159e-16,74.634544125,0.380484,1211852,1211823,4
3571,11,0.06265782887349616,0.06265782887349616,0.0,5.110229167,0.14602525,152612,152583,3
3571,21,0.06265782887349616,0.06265782887349616,4.163336342344337e-17,23.734759458,0.199070083,556132,556103,3
3571,31,0.06265782887349616,0.06265782887349616,1.3704315460216776e-16,76.04004225,0.370324916,1211852,1211823,4
3592,11,0.06265782887349616,0.06265782887349616,2.949029909160572e-17,5.098277334,0.162079041,152612,152583,3
3592,21,0.06265782887349616,0.06265782887349616,1.5612511283791264e-17,22.454627041,0.19691575,556132,556103,3
3592,31,0.06265782887349616,0.06265782887349616,8.326672684688674e-17,76.69842675,0.362386334,1211852,1211823,4
3760,11,0.06265782887349616,0.06265782887349616,0.0,5.582464,0.346539916,152612,152583,3
3760,21,0.06265782887349616,0.06265782887349618,8.031769693772617e-16,33.519483042,0.32726625,556132,556103,4
3760,31,0.06265782887349616,0.06265782887349616,3.382710778154774e-16,130.431302333,0.270587625,1211852,1211823,3
3907,11,0.06265782887349616,0.06265782887349616,2.896988204881268e-16,5.691260708,0.149457125,152612,152583,3
3907,21,0.06265782887349616,0.06265782887349616,3.2959746043559335e-17,33.315617625,0.223983125,556132,556103,3
3907,31,0.06265782887349616,0.06265782887349616,9.419548474554063e-16,126.264152,0.266850958,1211852,1211823,3
4159,11,0.06265782887349616,0.06265782887349616,1.474514954580286e-16,5.350898667,0.189900125,152612,152583,3
4159,21,0.06265782887349616,0.06265782887349616,7.060324547225605e-16,27.358414,0.335010625,556132,556103,4
4159,31,0.06265782887349616,0.06265782887349616,1.474514954580286e-16,99.315337459,0.796099375,1211852,1211823,4
4201,11,0.06265782887349616,0.06265782887349616,4.85722573273506e-17,5.161103958,0.145466292,152612,152583,3
4201,21,0.06265782887349616,0.06265782887349616,6.29704621779581e-16,26.807368166,0.256167834,556132,556103,3
4201,31,0.06265782887349616,0.06265782887349616,3.469446951953614e-18,95.317908083,0.273224792,1211852,1211823,3
4222,11,0.06265782887349616,0.06265782887349616,1.0755285551056204e-16,5.722022417,0.161583167,152612,152583,3
4222,21,0.06265782887349616,0.06265782887349618,1.682681771697503e-16,29.250373959,0.480585291,556132,556103,3
4222,31,0.06265782887349616,0.06265782887349618,7.927686285214008e-16,107.433742916,0.265493042,1211852,1211823,3
4579,11,0.06265782887349616,0.06265782887349616,0.0,5.181082166,0.163987459,152612,152583,3
4579,21,0.06265782887349616,0.06265782887349616,6.47051856539349e-16,22.432206792,0.310819583,556132,556103,3
4579,31,0.06265782887349616,0.06265782887349618,1.64625257870199e-15,86.034952667,0.271991042,1211852,1211823,3
4999,11,0.047154999999999996,0.047154999999999996,0.0,4.771909583,0.095276375,152612,152583,2
4999,21,0.047154999999999996,0.047154999999999996,0.0,21.365253208,0.1283255,556132,556103,2
4999,31,0.047154999999999996,0.047154999999999996,0.0,70.066002125,0.158273292,1211852,1211823,2
5419,11,0.047154999999999996,0.047154999999999996,0.0,4.928647166,0.086121,152612,152583,2
5419,21,0.047154999999999996,0.047154999999999996,0.0,22.465096959,0.22109225,556132,556103,2
5419,31,0.047154999999999996,0.047154999999999996,0.0,77.315403625,0.406516084,1211852,1211823,2
5839,11,0.03289760267826295,0.03289760267826295,1.3010426069826053e-16,5.151700167,0.16908025,152612,152583,3
5839,21,0.03289760267826295,0.03289760267826295,0.0,22.213112166,0.21835225,556132,556103,3
5839,31,0.03289760267826295,0.03289760267826295,1.3010426069826053e-16,92.7469505,0.292573959,1211852,1211823,3
6049,11,0.032856289773568144,0.03285628977356815,2.42861286636753e-17,5.050577458,0.143182458,152612,152583,3
6049,21,0.03285628977356815,0.03285628977356815,1.1102230246251565e-16,20.497275041,0.267596792,556132,556103,3
6049,31,0.032856289773568144,0.03285628977356815,2.949029909160572e-16,73.670108125,0.6707495,1211852,1211823,3
6259,11,0.03285628977356815,0.03285628977356815,1.700029006457271e-16,4.567296834,0.172032666,152612,152583,3
6259,21,0.03285628977356815,0.03285628977356815,1.700029006457271e-16,19.678063125,0.344164833,556132,556103,3
6259,31,0.032856289773568144,0.03285628977356815,1.7694179454963432e-16,67.38079025,0.271696,1211852,1211823,3
6364,11,0.08616066570188134,0.08616066570188134,1.3877787807814457e-17,4.332037583,0.133139708,152612,152583,3
6364,21,0.08616066570188134,0.08616066570188134,1.3877787807814457e-17,15.373819542,0.178365458,556132,556103,3
6364,31,0.08616066570188134,0.08616066570188134,1.3877787807814457e-17,44.745211375,0.219085167,1211852,1211823,3
6385,11,0.08616066570188131,0.08616066570188133,0.0,4.526659416,0.356292292,152612,152583,3
6385,21,0.08616066570188134,0.08616066570188134,0.0,18.444892125,0.168765583,556132,556103,2
6385,31,0.08616066570188134,0.08616066570188134,0.0,51.62687,0.275879917,1211852,1211823,3
