Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Grid_Size,Runtime,Active_States,Worst_CVaR
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,81,1.5875599384307861,4,2.4766836596594826
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,41,2.7190260887145996,4,2.4766836596594826
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,21,1.0856101512908936,4,2.4766836596594826
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,11,0.3181469440460205,4,2.4766836596594826
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,81,1.196347951889038,5,1.6096913749664223
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,41,0.6673908233642578,5,1.609839923995978
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,21,0.46438097953796387,5,1.6092780750986209
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,11,0.3948631286621094,5,1.6064358264225758
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,81,0.4116511344909668,2,4.061938147356518
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,41,0.122467041015625,2,4.061938147356518
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,21,0.09253907203674316,2,3.9452691738725676
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,11,0.07961797714233398,2,3.8879323892112545
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,81,0.3230400085449219,2,3.4971693339344063
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,41,0.2596580982208252,2,3.4971693339344063
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,21,0.10907983779907227,2,3.4971693339344063
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,11,0.09491801261901855,2,3.4971693339344063
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,81,0.5860838890075684,3,3.2720064356085823
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,41,0.22663092613220215,3,3.2716759519836693
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,21,0.08742094039916992,2,3.271286384976526
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,11,0.07978487014770508,2,3.271286384976526
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,81,1.4405381679534912,6,3.3659714674166055
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,41,0.9604349136352539,7,3.362902885116361
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,21,0.6344289779663086,6,3.3475095749725554
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,11,0.3049278259277344,4,3.2893708542600346
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,81,2.537036180496216,9,2.9599459720781076
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,41,1.481245994567871,9,2.9560708729219907
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,21,0.6002721786499023,6,2.945555039769371
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,11,0.7921199798583984,7,2.8557485246726073
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,81,2.01545786857605,8,2.7933671482877283
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,41,1.2745001316070557,8,2.78885138456796
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,21,0.5929269790649414,6,2.7772943602226414
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,11,0.4055969715118408,5,2.74294782341684
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,81,0.78230881690979,4,2.491304150772894
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,41,0.47660207748413086,4,2.49062908188702
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,21,0.1717548370361328,3,2.486876889206501
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,11,0.1497030258178711,3,2.4827671777980562
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,81,0.5812690258026123,3,6.2657828873496175
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,41,0.22444605827331543,3,6.2657828873496175
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,21,0.18123316764831543,3,6.2657828873496175
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,11,0.1718888282775879,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,81,0.6075937747955322,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,41,0.2530081272125244,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,21,0.19775390625,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,11,0.16687297821044922,3,6.265782887349617
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,81,0.6915409564971924,3,6.265782887349619
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,41,0.2500941753387451,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,21,0.18128204345703125,3,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,11,0.1643059253692627,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,81,0.4317281246185303,2,4.7155
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,41,0.1593320369720459,2,4.702247220009571
